,index,Unnamed: 0,Date,Title,Introduction,prediction
58,82,136,2022-12-27,海的尽头是吕布FMVP皮肤,导语：心中坦荡 路是必然   吕布FMVP皮肤1.1日上线[开学季]你们觉得这款皮肤怎么样,Positive
59,83,137,2022-12-27,原神雷电将军,导语：「薙除俗世芜杂的执妄，只为扭转生灭轮回的羁缠。不为人所真正理解，亦不屑为人所看破…将军殿下她，实在是一个很矛盾的人。」——狐斋宫,Positive
60,84,138,2022-12-27,一张纸就可以拯救水泥鼻,导语：水泥鼻有救了,Positive
61,85,140,2022-12-27,西热力江史琳杰打架被停赛罚款,导语：CBA刚刚发布的公告，西热力江在餐厅和江苏总经理史琳杰发生口角之后斗殴，两人都被停赛+罚款了！,Positive
62,86,141,2022-12-27,大熊猫演绎啥叫强行干饭,导语：大熊猫演绎啥叫强行干饭，看↓,Positive
63,87,142,2022-12-27,真理之光引领复兴之路,导语：引领，贯穿于党的二十大各项议程，彰显在党的二十大精神之中——选举产生以习近平同志为核心的新一届党中央，坚强核心引领壮阔征程；把党的十九大以来习近平新时代中国特色社会主义思想新发展写入党章，真理之光引领复兴之路；描绘未来党和国家事业新蓝图，清晰目标指明奋进方向。,Positive
64,89,165,2022-12-27,2022霸屏演员,导语：影视剧全面开花的一年，你心目中2022强势霸屏的演员又是谁呢？快来参与话题讨论~,Negative
65,90,171,2022-12-27,王凯谭松韵新剧连吵7集后和解,导语：在新剧《向风而行》中，顾南亭@王凯kkw 和程霄@谭松韵seven 在连吵7集后终于破冰和解，希望他们之后都不再有隔阂！,Positive
66,91,172,2022-12-27,陈钰琪说没想到王鹤棣这么高,导语：王鹤棣单手抱了陈钰琪之后，她感叹到说“没想到你这么高”,Positive
67,92,175,2022-12-27,名侦探学院熟人局,导语：12月28日文韬、 何运晨、石凯、黄子弘凡轮番空降名侦探学院超话陪大家一起边唠嗑边看节目，欢迎大家进超话带#名侦探学院熟人局#话题踊跃提问！,Positive
68,93,177,2022-12-27,外卖大姐因商家打赏20元乐得合不拢嘴,导语：近日，广东珠海。一外卖员因商家打赏20元，高兴得合不拢嘴，她的快乐也感染了无数网友，纷纷留言自己看完也会跟着笑。该外卖员到店后才发现取的是3瓶中药，花了2元钱买了瓶矿泉水把中药灌进去，顾客要转给她买水的钱，她拒绝了。,Negative
69,95,181,2022-12-27,非正式跨年派对,导语：2022快乐列车已经启动，12月29日关注@新浪娱乐 微博，跨年派对直播记得来看！,Negative
70,96,182,2022-12-27,广州队降级,导语：2010年9月25日，广州队3比2广东日之泉，提前3轮冲超成功。2022年12月27日，广州队1比4长春亚泰，提前1轮降入中甲。,Negative
71,98,186,2022-12-27,红米发布会,导语：自红米品牌公布K60系列将于12月27日正式发布，其价格便成为议论焦点，你认为K60起售价应为多少？,Positive
72,99,188,2022-12-27,这就是减龄发型天花板吧,导语：古早儿童发型好好看！绝对是减龄天花板,Positive
73,100,189,2022-12-27,恢复办理内地居民赴港签注,导语：国家移民管理局自2023年1月8日起优化移民管理政策措施。其中包括：有序恢复受理审批中国公民因出国旅游、访友申请普通护照，恢复办理内地居民旅游、商务赴港签注。,Negative
74,101,190,2022-12-27,22张海报回顾2022,导语：戳视频↓22张海报，带你回顾这一年，一起告别2022。,Negative
75,102,191,2022-12-27,中国入境日本阳性人员需隔离7天,导语：日本首相岸田文雄27日宣布，30日起将加强入境防疫措施。对从中国大陆赴日及7天内去过中国的所有人员，日本将实施入境时检测，新冠检测呈阳性的人员原则上隔离7天。,Negative
76,103,192,2022-12-27,新冠乙类乙管个人防护指南,导语：国务院联防联控机制发布《新型冠状病毒感染“乙类乙管”个人防护指南》。,Positive
77,104,193,2022-12-27,肖战祝福大家顺顺利利平平安安,导语：肖战的2023年祝福来了，一定要顺顺利利平平安安噢！,Positive
78,105,200,2022-12-27,王一博漫步街角花絮视频,导语：王一博漫步街角拍摄花絮🈶️,Positive
79,107,211,2022-12-27,神里绫人,导语：祝绫人生日快乐！！！说说你比较喜欢神里绫人哪地方呢？ ​,Positive
80,109,218,2022-12-27,王佳怡和赵今麦是大学同学,导语：《满江红》中的王佳怡和赵今麦是大学同学,Positive
81,110,219,2022-12-27,杨迪在节目里说上一季的人都正常,导语：杨迪在《再见爱人2》里说上一季的人都正常,Positive
82,111,223,2022-12-27,博主称餐厅虚假营销抓起帝王蟹扯腿吃掉,导语：近日，江苏无锡，男子称看到平台宣传的358元海鲜自助可以畅吃帝王蟹、海胆等新鲜海鲜后下单，到店发现只能排队吃冷冻的，该男子直接拿起水缸中新鲜帝王蟹，遭到店员阻止后扯下帝王蟹腿吃掉。,Negative
83,113,227,2022-12-27,我可能遇到了救星,导语：《我可能遇到了救星》由曾舜晞、梁洁主演，二人在剧中相互治愈彼此救赎，成为了彼此的“救星”，治愈系爱情故事一整个期待住了！,Positive
84,116,231,2022-12-27,男子烧掉离家4年妻子衣物称重新开始,导语：12月26日，云南邵通，男子烧毁离家四年妻子的衣物。“孩子的妈妈跑了四年，今天和女儿将关于她的物品烧毁，准备忘记一切重新开始”,Negative
85,117,232,2022-12-27,Meiko国服事件队友回应,导语：Meiko国服排位与队友互喷事件再出后续！当事人之一向Meiko道歉，请网友不要再网暴,Negative
86,118,233,2022-12-27,华为天才少年稚晖君确认离职,导语：以“天才少年”身份加入华为的稚晖君近日被曝已经离职，将开启创业，今天中午稚晖君在微博发文回应称传言属实，已经离开华为，将开始创业。,Positive
87,120,235,2022-12-27,小狗也需要边界感,导语：孩子：嗯～～金窝银窝不如你的狗窝🥰,Positive
88,122,253,2022-12-27,金莎发视频回应近日状态,导语：金莎晒视频回应近日状态争议，视频中金莎白衣红唇十分甜美，解释日前演出时顶光捕捉到的自己状态被说差，回应道“我状态也没那么差吧”。,Negative
89,124,261,2022-12-27,爷奶阳性后吃孙女点的外卖表情亮了,导语：近日，安徽，爷爷和奶奶都阳性后，女子不会做饭，于是给老人们点外卖。两位老人吃着外卖，两眼放光，不停表示“好吃”。,Positive
90,125,263,2022-12-27,微念与李子柒达成和解,导语：12月27日，微念在官方公众号发文称：微念与李子柒在绵阳市中级人民法院的调解下，双方达成和解。,Positive
91,126,265,2022-12-27,总台2023年春节联欢晚会首次彩排,导语：12月26日，中央广播电视总台《2023年春节联欢晚会》进行第一次彩排。整台晚会节目类型丰富、形式多样，歌舞、相声、小品、音乐剧、微电影……很多节目都是依托真实生活取材，期待为亿万受众奉献一台吉祥喜气、信心满满的文化盛宴。,Positive
92,127,267,2022-12-27,中超联赛,导语：中国足球协会超级联赛成立于2004年，是中国大陆地区最高级别的职业联赛,Positive
93,128,268,2022-12-27,虞书欣圈内知名美少女摄影师,导语：@虞书欣Esther 宝贝拍的照片也太牛了吧！欣欣子不仅是个可爱的美女宝贝，谁能想到竟然还多才多艺，拍的照片也太有氛围了呀！不愧是圈内知名美少女摄影师呢，这样的欣欣子很难不爱呀～,Positive
94,129,270,2022-12-27,檀健次周也新剧好甜,导语：檀健次周也新剧杀青，牵手、对视、拥抱太甜了，好有cp感！,Positive
95,130,274,2022-12-27,阳性人员原则上不带病上岗,导语：疫情流行期间，重点场所内工作人员开展健康监测，阳性人员原则上不带病上岗，如需到岗，应做好个人防护，减少与他人接触。,Positive
96,131,275,2022-12-27,白宇吃了一百碗面,导语：白宇终于更新到100碗面啦！看你最喜欢哪一款！,Positive
97,132,276,2022-12-27,女子阳性躺10多天头发变离子烫,导语：12月26日，辽宁抚顺。一女子阳性后在家里躺床休息10多天，不料睡醒后头发直接炸毛。当事人李女士称自己阳后每天发烧浑身疼痛无力就没有梳理头发，没想到当时老公叫她吃饭时看到了这一幕,Positive
98,134,278,2022-12-27,它是懂吃包子的,导语：这狗子绝对是懂吃包子的！竟然不蘸醋不吃！大家有养狗狗吗？,Positive
99,135,279,2022-12-27,贝利已和亲友道别,导语：82岁的球王贝利近日因病住院，他的身体状况令人担忧。记者Frank Khalid透露，贝利已经在病床上向家人和朋友道别，家人说他的病情进一步恶化了。,Positive
100,136,280,2022-12-27,当前我国疫情防控进入新阶段,导语：国家卫生健康委新闻发言人米锋介绍，当前，我国疫情防控进入新阶段，面临新形势、新任务，工作重心从“防感染”转向“保健康、防重症”。,Negative
101,137,281,2022-12-27,拜登宣布纽约州进入紧急状态,导语：美国白宫21日发表声明称，美国总统拜登于当地时间20日晚宣布美国纽约州进入紧急状态，并下令给予该州联邦援助，以帮助当地对抗暴风雪。,Positive
102,138,283,2022-12-27,男子婚礼后拒领证让临产女友退彩礼,导语：近日，河南平顶山。男子与女友相恋一段时间后，向女友转款8万元并备注“彩礼”。随后，双方商量婚姻登记事宜，女友表示等婚礼后再领证。,Positive
103,139,296,2022-12-27,当新疆男友第一次去你家,导语：这是我见过第一次见家长的仪式感天花板！！！！！,Positive
104,140,305,2022-12-27,4个月后印度将成为人口第一大国,导语：近日联合国预测，印度人口数量将在2023年4月中旬超过中国，成为全球第一人口大国！,Positive
105,141,309,2022-12-27,日本加强从中国入境的防疫措施,导语：共同社12月27日消息，日本首相岸田文雄27日宣布，30日起将加强入境防疫措施。对从中国大陆赴日及7天内去过中国的所有人员，日本将实施入境时检测。,Negative
106,142,310,2022-12-27,丢个垃圾差点回不了家,导语：雪天丢垃圾也太难了哈哈哈，但是无所谓我会改四驱,Negative
107,143,311,2022-12-27,刘诗诗晒一念关山剧组库存碎片照,导语：刘诗诗晒《一念关山》剧组库存碎片照，记录一些剧组的美好时刻！,Positive
108,144,312,2022-12-27,乙类乙管后防控重点为3重1大,导语：从“乙类甲管”调整为“乙类乙管”后，防控措施的重点可以简要概括为“三重一大”。详↓,Positive
109,146,317,2022-12-27,女子发烧5天崩溃大哭狗子担心踱步,导语：12月24日，广东广州。一女子发烧5天仍不退烧，在房间崩溃大哭，屋外的狗狗听到主人的哭声而焦躁不安，它连尾巴都耷拉下垂，一遍又一遍地在主人房门前和客厅中踱步。,Positive
110,147,318,2022-12-27,满江红易烊千玺盔甲造型,导语：电影《满江红》易烊千玺盔甲造型，气场十足！质感满分！眼神鲨好绝！ ​,Positive
111,148,320,2022-12-27,女子花2千买体温计吐槽被收智商税,导语：12月25日，浙江。近日一女子调侃买体温计，被收智商税的视频引发热议。,Negative
112,151,323,2022-12-27,相当一部分白肺患者经治疗可好转,导语：国家卫健委医政司司长焦雅辉介绍，并不是肺部出现炎症就叫白肺，白肺是比较严重的肺炎表现。,Positive
113,152,324,2022-12-27,男孩画全家福把父母画成墓碑,导语：12月23日，河南郑州。一男孩画了一幅让爸爸哭笑不得的画，只见画里面有一家三口（幸福一家人）爸爸以为画中的两个大人是爸爸妈妈，谁知道小孩的回答直接让爸爸血压飙升：不是，旁边的两座墓碑才是爸爸妈妈。,Positive
114,153,325,2022-12-27,你还在咳咳咳吗,导语：医生表示，一些中成药或含片等药物可以缓解咽喉肿痛和咽干的症状。另外，饮用充足的水保持咽喉部湿润，不要过度用嗓。,Positive
115,154,326,2022-12-27,这狗跑起来怎么一撇一捺的,导语：太可爱了小金毛！！怎么能跑起来乱七八糟的，还边跑边稍息啊哈哈哈哈哈哈哈,Positive
116,155,340,2022-12-27,网传女子衣着暴露在人民调解室热舞,导语：近日，网传有女子衣着暴露在四川成都成华区双桥子街道人民调解室热舞，视频中有人喊道：“摇起来。”,Negative
117,156,345,2022-12-27,张婉婷对妈妈说我坚强是因为你们软弱,导语：张婉婷的原生家庭对她的影响真的好大！,Positive
118,157,347,2022-12-27,孙怡再见爱人第八期课代表,导语：宋宁峰张婉婷在本期《再见爱人》里大吵了一架，孙怡直接用三句话总结了宋宁峰和张婉婷的吵架过程。,Positive
119,159,355,2022-12-27,江苏卫视跨年独缺易烊千玺,导语：江苏卫视跨年官宣王俊凯 王源，期待一个易烊千玺~,Positive
120,160,357,2022-12-27,任嘉伦邢菲武庚纪路透,导语：任嘉伦、邢菲《武庚纪》同框路透[好喜欢],Positive
121,161,360,2022-12-27,2022哪些同框相遇打动了你,导语：梦想、青春、胜利，那些双向奔赴，那些热爱与惊喜，都是值得珍藏的宝贵记忆。,Positive
122,162,362,2022-12-27,官方辟谣网友5天内2次感染不同毒株,导语：12月26日，网友@武知不菜二代目发文称因高危职业，在五天时间内两次感染新冠，并且感染的是两种不同毒株，第二次感染症状更强烈。随后，很快有评论质疑，如何确定感染的是两种毒株。该网友回复称，自己是苏州工业园区疾控中心（sipcdc）员工，在P4实验室检测出的结果。,Negative
123,163,363,2022-12-27,当代年轻人为什么喜欢捡垃圾,导语：当代年轻人崇尚自然、热衷环保，会用捡垃圾、回收再利用的方式来治愈自己，我们可以称之为“垃圾刺客”。,Positive
124,164,364,2022-12-27,没阳过的人跟阳康接触会被感染吗,导语：没阳过的人跟阳康接触会被感染吗？多位感染学专家表示，如果“阳康”们返岗前的几次抗原检测都是阴性，已经不再具有传染性；同时提醒不能单纯以感染的时间来判断是否有传染性，“阳过”们在返岗前可以做一次抗原自测。,Positive
125,165,365,2022-12-27,75岁外婆深夜赶英语作业,导语：12月22日，广东广州，晚上11点半，龙同学去上厕所，发现75岁的外婆还在坚持写英语作业。龙同学说，外婆学英语主要是为了预防老年痴呆，她已经在老年大学的英语兴趣班学习四五年了，每周有3天上英语课，平时还会看网课的回放，自己是大学生，论文作业都没写完，看到外婆还在学习，自己很惭愧。,Positive
126,169,372,2022-12-27,高三同学请假后桌椅堆满试卷,导语：12月24日，广东佛山，一高三学生请假几天后，桌椅上堆满了试卷。据拍摄者介绍：自己是高三的学生，每天都会收到很多试卷，自己前面的同学请假几天，累计堆起来的试卷大概有一百多张，感觉很壮观。,Positive
127,170,392,2022-12-27,网传苏有朋李宇春蔡徐坤张艺兴跨年压轴,导语：网传四大卫视跨年零点嘉宾分别是：李宇春、苏有朋、张艺兴、蔡徐坤，你最期待谁？,Positive
128,172,397,2022-12-27,网传德尔塔奥密克戎共循环是谣言,导语：中国疾控中心病毒病所所长许文波：奥密克戎仍是目前国内主要流行毒株。,Negative
129,173,400,2022-12-27,老人阳了一定要查血氧,导语：医生提醒，相较年轻人，老年人对机体异常反应不明显，因此，老人感染新冠后，家人一定要加强监测，重点关注老人体温、心率、脉搏以及外周血氧饱和度的变化。,Positive
130,174,401,2022-12-27,白肺是什么,导语：阳康后还是咳嗽不断，胸闷气短那就需要注意是不是白肺了，那么什么是白肺？有哪些症状？不及时干预会有什么后果？医生提醒，阳康后如果还是不断的咳嗽、咳痰，并且病情在逐渐进展，尤其是出现了胸闷气短的表现，一定要及时到医院就诊,Negative
131,175,403,2022-12-27,eStar全员薯片自拍,导语：武汉eStar创意合拍活动欢乐上线~  速来查收武汉eStar全员薯片自拍！,Negative
132,176,404,2022-12-27,易烊千玺满江红铁衣造型,导语：易烊千玺《满江红》铁衣造型绝绝子啊，简直了，易烊千玺孙均角色适配度我🉑️了，喜欢的在哪里啊？,Positive
133,177,405,2022-12-27,iPhone车祸检测占用大量救援资源,导语：据IT之家消息，自 iPhone 14 和 Apple Watch Series 8 于今年 9 月推出“车祸检测”功能以来，美国各地的 911 和紧急调度员收到了大量误报。,Positive
134,179,408,2022-12-27,杨幂湖南卫视跨年晚会宣传片,导语：杨幂湖南卫视跨年晚会宣传片来了，期待跨年演唱会,Positive
135,181,410,2022-12-27,天猫将推出商品单价立减无需凑单,导语：12月27日，天猫年货节预热正式启动，首次推出“官方立减”商品直降，并取消延续多年的“跨店满减”。,Negative
136,183,412,2022-12-27,孟美岐名誉维权案胜诉,导语：乐华娱乐发布关于孟美岐名誉维权案件进展的说明，孟美岐维权胜诉。,Negative
137,184,413,2022-12-27,孔雪儿刘些宁同框杂志大片,导语：孔雪儿刘些宁同框杂志大片,Negative
138,185,414,2022-12-27,谭松韵晒和小七的告别纪念合照,导语：谭松韵晒《向风而行》和小七的告别纪念合照，期待她早日当上机长的剧情了[加油] ​​​,Positive
139,186,415,2022-12-27,阳了后一直咳嗽是怎么回事,导语：医生表示，感染后一直咳嗽分3种情况,Negative
